game_date,player_id,player_name,team_abbr,season,signal_simulated_market,signal_fair_value,forward_delta_game_score,forward_mean_game_score
2018-11-21,201142,Kevin Durant,GSW,2018-19,134.67253842504152,135.03459997512877,10.919999999999991,32.71999999999999
2023-12-02,203507,Giannis Antetokounmpo,MIL,2023-24,154.63644100773698,153.80885659898743,10.868421052631579,35.5
2025-12-23,202695,Kawhi Leonard,LAC,2025-26,129.3467449326846,131.75131687017898,10.862105263157893,31.520000000000003
2023-01-23,203081,Damian Lillard,POR,2022-23,142.14282433089787,139.11948748634308,10.848571428571432,33.32000000000001
2021-03-12,201566,Russell Westbrook,WAS,2020-21,124.00436391606516,123.99142743712017,10.804827586206898,26.46
2021-01-28,201939,Stephen Curry,GSW,2020-21,124.63894478560962,123.84541202024394,10.791578947368414,31.059999999999995
2021-11-07,201939,Stephen Curry,GSW,2021-22,141.54394422266068,137.19639441101464,10.764444444444447,30.120000000000005
2021-01-30,201939,Stephen Curry,GSW,2020-21,124.6401223930257,124.53800178147868,10.739999999999995,31.119999999999997
2023-02-06,203081,Damian Lillard,POR,2022-23,147.62306752927378,141.67176068366803,10.691904761904766,34.68000000000001
2021-04-04,201939,Stephen Curry,GSW,2020-21,127.88285708966049,128.55392931002257,10.64952380952381,33.14
2019-02-06,203078,Bradley Beal,WAS,2018-19,128.52430859185137,127.30182129505413,10.628518518518518,28.46
2025-02-23,1630169,Tyrese Haliburton,IND,2024-25,123.57119562271163,127.8586230568386,10.614444444444437,28.119999999999994
2026-01-14,203954,Joel Embiid,PHI,2025-26,123.64511756698309,120.95415634312924,10.559047619047629,27.640000000000008
